location_code,PSC_Code,FisheryID,FisheryName,Gear
3F21703  210024ZR07,3F21703  21,65,Queets Spt,4
3F21703  210024ZR07,3F21703  21,68,Queets Net,2
2MN25H02WSKID PT 64,2MN25,187,No BC  Spt,4
1M1NE115   42,1M1NE,197,NE AK  Trl,1
1M1NE115   42,1M1,198,SE AK Net,2
1M1NE115   42,1M1,198,SE AK Net,3
1M1NE115   42,1M1,198,SE AK Net,6
1M1NE115   42,1M1,199,SE AK Sport,4
1M1SE101 2706,1M1SE,195,SE AK  Trl,1
1M1SE101 2706,1M1,198,SE AK Net,2
1M1SE101 2706,1M1,198,SE AK Net,3
1M1SE101 2706,1M1,198,SE AK Net,6
1M1SE101 2706,1M1,199,SE AK Sport,4
3F21704  200046 S,3F21704,76,Mak FW Spt,4
3F21704  200046 S,3F21704,77,Mak FW Net,2
1M1NE109 1003,1M1NE,197,NE AK  Trl,1
1M1NE109 1003,1M1,198,SE AK Net,2
1M1NE109 1003,1M1,198,SE AK Net,3
1M1NE109 1003,1M1,198,SE AK Net,6
1M1NE109 1003,1M1,199,SE AK Sport,4
2MS27P125ESCA IS,2MS27,190,WC VI  Spt,4
2MN25P003GREE IS,2MN25,187,No BC  Spt,4
3F21703  200096 R02,3F21703  200096,70,Quilly Spt,4
3F21703  200096 R02,3F21703  200096,71,Quilly Net,2
3F10208  030392 R,3F102,103,Skag R Net,2
2MS27H23BKEEH BY,2MS27,190,WC VI  Spt,4
2MN25H003TRAL BY,2MN25,187,No BC  Spt,4
2MN25P2W BUCK PT,2MN25,187,No BC  Spt,4
3F10806  170285 S,3F10806  17,86,EJDF T Net,2
3F10806  170285 S,3F10806  17,89,EJDF FWSpt,4
3F42001  270168 H72,3F42001  27,24,L ColR Spt,4
3F10513  140058 R,3F10513  14,149,13D-K TSpt,4
3F42001  261022 R,3F42001  26,24,L ColR Spt,4
3F42001  270286 R,3F42001  27,24,L ColR Spt,4
3M10510  888115 R,3M10510,119,Ar10 NetNT,6
3M10510  888118 H,3M10510,119,Ar10 NetNT,6
2MS22P014FOURTEE,2MS22,192,SGaStr Spt,4
3F42001  270168 H01,3F42001  27,24,L ColR Spt,4
3M11413  870842,3M11413,136,Ar 13  Spt,4
2MS27P127KWAK PT,2MS27,190,WC VI  Spt,4
3F42001  2772390E,3F42001  27,24,L ColR Spt,4
3M11413  872170,3M11413,136,Ar 13  Spt,4
3M11413  872184,3M11413,136,Ar 13  Spt,4
3M11413  872185,3M11413,136,Ar 13  Spt,4
3M11413  872425,3M11413,136,Ar 13  Spt,4
3M11413  872431,3M11413,136,Ar 13  Spt,4
3M11413  872434,3M11413,136,Ar 13  Spt,4
3M11413  872451,3M11413,136,Ar 13  Spt,4
3M11413  872498,3M11413,136,Ar 13  Spt,4
3F42001  280059 H03,3F42001  28,24,L ColR Spt,4
3F42001  280159 R,3F42001  28,24,L ColR Spt,4
3F42001  280200 S,3F42001  28,24,L ColR Spt,4
3F42001  280246 R,3F42001  28,24,L ColR Spt,4
3F42001  280254 R,3F42001  28,24,L ColR Spt,4
3M11512  870734,3M115,152,Ar 12  Spt,4
3F10107  030005 H14,3F10107  030005,100,Samh R Spt,4
3F10208  030268 H,3F102,103,Skag R Net,2
3M11512  872021,3M115,152,Ar 12  Spt,4
3F42001  286017 H,3F42001  28,24,L ColR Spt,4
3F42001  286019 H,3F42001  28,24,L ColR Spt,4
3F42001  286020 H,3F42001  28,24,L ColR Spt,4
3F42001  286021 H,3F42001  28,24,L ColR Spt,4
3F10208  030298 R,3F102,103,Skag R Net,2
3F10208  030308 R,3F102,103,Skag R Net,2
3F10208  030358AR,3F102,103,Skag R Net,2
3F42001  290001 R03,3F42001  29,31,UpColR Spt,4
3F42001  290001 R03,3F42001  29,32,UpColR Net,2
3F42001  290002 R,3F42001  29,31,UpColR Spt,4
3F42001  290002 R,3F42001  29,32,UpColR Net,2
3M11512  872241,3M115,152,Ar 12  Spt,4
3M11512  872265,3M115,152,Ar 12  Spt,4
3M11512  872271,3M115,152,Ar 12  Spt,4
3M164  X2  X9A,3M16,0,10 Tst Net,6
3M164  X2  X9A,3M164  X2,156,Ar9-9A Net,2
2MS27P124FLOR IS,2MS27,190,WC VI  Spt,4
2MS27H025NOOT SU,2MS27,190,WC VI  Spt,4
3M165  X1  X9,3M16,0,10 Tst Net,6
3M165  X1  X9,3M165  X1,119,Ar10 NetNT,6
3M167  X1  X6,3M16,0,10 Tst Net,6
3M167  X1  X6A,3M16,0,10 Tst Net,6
2MS21H021       516,2MS21,181,SW VI  Net,2
3M21802  888220 R,3M218,48,GryHbr Spt,4
3M21802  888220 R,3M218,50,GryHbr Net,2
2MS21H023       179,2MS21,181,SW VI  Net,2
3F42001  290082 R,3F42001  29,31,UpColR Spt,4
3F42001  290082 R,3F42001  29,32,UpColR Net,2
2MS21H023       519,2MS21,181,SW VI  Net,2
2MS21H023       599,2MS21,181,SW VI  Net,2
2MS22P013ARRA RP 23,2MS22,192,SGaStr Spt,4
2MS22P013,2MS22,192,SGaStr Spt,4
3F21703  210032 R,3F21703  21,65,Queets Spt,4
3F21703  210032 R,3F21703  21,68,Queets Net,2
3F42001  300002 H01,3F42001  30,31,UpColR Spt,4
3F42001  300002 H01,3F42001  3,32,UpColR Net,2
3M21802  D,3M218,48,GryHbr Spt,4
3M21802  D,3M218,50,GryHbr Net,2
3M21802X1  X2B,3M218,48,GryHbr Spt,4
3M21802X1  X2B,3M218,50,GryHbr Net,2
3M21802X2  X2A,3M218,48,GryHbr Spt,4
3M21802X2  X2A,3M218,50,GryHbr Net,2
3M21902  888301 R,3M21902,45,Willpa Spt,4
3M21902  888301 R,3M219,47,WlpaBT Net,2
3F21703  200096 S,3F21703  200096,70,Quilly Spt,4
3F21703  200096 S,3F21703  200096,71,Quilly Net,2
3F21703  210139 R,3F21703  21,65,Queets Spt,4
3F21703  210139 R,3F21703  21,68,Queets Net,2
3F42001  340125 R02,3F42001  3,32,UpColR Net,2
3F42001  340491 R10,3F42001  3,32,UpColR Net,2
3F21902  240543 H,3F219,46,Willpa Spt,4
3F21902  240543 H,3F219,47,WlpaBT Net,2
3F42001  260002 H03,3F42001  26,24,L ColR Spt,4
